mode,contractAnchorDate,marketGroup,area,commodity,pricing,product,maturityType,delivery,requestedTradeDate,windowStartDate,windowEndDate,tradeDate,status,settlementPrice,volume,grossOpenInterest,shortCode,maturity,assumedCode,httpStatus,errorMessage
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-16,2026-03-20,2026-03-20,ok,42.57,,73,FNBM,202603,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-16,2026-03-20,2026-03-19,ok,44.46,,73,FNBM,202603,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-16,2026-03-20,2026-03-18,ok,45.54,,73,FNBM,202603,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-16,2026-03-20,2026-03-17,ok,47.4,,73,FNBM,202603,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-16,2026-03-20,2026-03-16,ok,49.47,,73,FNBM,202603,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Apr-26,,2026-03-16,2026-03-20,2026-03-20,ok,55.91,,0,FNBM,202604,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Apr-26,,2026-03-16,2026-03-20,2026-03-19,ok,59.44,,0,FNBM,202604,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Apr-26,,2026-03-16,2026-03-20,2026-03-18,ok,59.34,,0,FNBM,202604,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Apr-26,,2026-03-16,2026-03-20,2026-03-17,ok,58.52,,0,FNBM,202604,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Apr-26,,2026-03-16,2026-03-20,2026-03-16,ok,62.05,,0,FNBM,202604,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,May-26,,2026-03-16,2026-03-20,2026-03-20,ok,43.34,,2,FNBM,202605,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,May-26,,2026-03-16,2026-03-20,2026-03-19,ok,45.22,,2,FNBM,202605,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,May-26,,2026-03-16,2026-03-20,2026-03-18,ok,43.84,,2,FNBM,202605,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,May-26,,2026-03-16,2026-03-20,2026-03-17,ok,43.36,744,2,FNBM,202605,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,May-26,,2026-03-16,2026-03-20,2026-03-16,ok,44.9,744,1,FNBM,202605,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Jun-26,,2026-03-16,2026-03-20,2026-03-20,ok,32.68,,1,FNBM,202606,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Jun-26,,2026-03-16,2026-03-20,2026-03-19,ok,36.58,,1,FNBM,202606,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Jun-26,,2026-03-16,2026-03-20,2026-03-18,ok,35.64,,1,FNBM,202606,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Jun-26,,2026-03-16,2026-03-20,2026-03-17,ok,36.91,720,1,FNBM,202606,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Jun-26,,2026-03-16,2026-03-20,2026-03-16,ok,37.87,,0,FNBM,202606,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Jul-26,,2026-03-16,2026-03-20,2026-03-20,ok,35.56,,0,FNBM,202607,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Jul-26,,2026-03-16,2026-03-20,2026-03-19,ok,36.35,,0,FNBM,202607,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Jul-26,,2026-03-16,2026-03-20,2026-03-18,ok,33.63,,0,FNBM,202607,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Jul-26,,2026-03-16,2026-03-20,2026-03-17,ok,33.04,,0,FNBM,202607,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Jul-26,,2026-03-16,2026-03-20,2026-03-16,ok,34.11,,0,FNBM,202607,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Aug-26,,2026-03-16,2026-03-20,2026-03-20,ok,55.62,,0,FNBM,202608,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Aug-26,,2026-03-16,2026-03-20,2026-03-19,ok,56.24,,0,FNBM,202608,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Aug-26,,2026-03-16,2026-03-20,2026-03-18,ok,53.87,,0,FNBM,202608,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Aug-26,,2026-03-16,2026-03-20,2026-03-17,ok,52.17,,0,FNBM,202608,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Aug-26,,2026-03-16,2026-03-20,2026-03-16,ok,53.32,,0,FNBM,202608,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Sep-26,,2026-03-16,2026-03-20,2026-03-20,ok,56.04,,0,FNBM,202609,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Sep-26,,2026-03-16,2026-03-20,2026-03-19,ok,57.32,,0,FNBM,202609,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Sep-26,,2026-03-16,2026-03-20,2026-03-18,ok,54.7,,0,FNBM,202609,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Sep-26,,2026-03-16,2026-03-20,2026-03-17,ok,53.61,,0,FNBM,202609,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Month,Sep-26,,2026-03-16,2026-03-20,2026-03-16,ok,54.81,,0,FNBM,202609,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q2-26,,2026-03-16,2026-03-20,2026-03-20,ok,43.97,4368,56,FNBQ,202604,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q2-26,,2026-03-16,2026-03-20,2026-03-19,ok,47.06,,54,FNBQ,202604,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q2-26,,2026-03-16,2026-03-20,2026-03-18,ok,46.25,,54,FNBQ,202604,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q2-26,,2026-03-16,2026-03-20,2026-03-17,ok,46.23,,54,FNBQ,202604,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q2-26,,2026-03-16,2026-03-20,2026-03-16,ok,48.24,2184,54,FNBQ,202604,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q3-26,,2026-03-16,2026-03-20,2026-03-20,ok,49,,54,FNBQ,202607,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q3-26,,2026-03-16,2026-03-20,2026-03-19,ok,49.89,,54,FNBQ,202607,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q3-26,,2026-03-16,2026-03-20,2026-03-18,ok,47.32,,54,FNBQ,202607,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q3-26,,2026-03-16,2026-03-20,2026-03-17,ok,46.19,,54,FNBQ,202607,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q3-26,,2026-03-16,2026-03-20,2026-03-16,ok,47.33,,54,FNBQ,202607,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q4-26,,2026-03-16,2026-03-20,2026-03-20,ok,68.89,,58,FNBQ,202610,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q4-26,,2026-03-16,2026-03-20,2026-03-19,ok,68.73,,58,FNBQ,202610,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q4-26,,2026-03-16,2026-03-20,2026-03-18,ok,65.16,,58,FNBQ,202610,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q4-26,,2026-03-16,2026-03-20,2026-03-17,ok,62.5,,58,FNBQ,202610,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q4-26,,2026-03-16,2026-03-20,2026-03-16,ok,63.28,,58,FNBQ,202610,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q1-27,,2026-03-16,2026-03-20,2026-03-20,ok,67.38,,0,FNBQ,202701,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q1-27,,2026-03-16,2026-03-20,2026-03-19,ok,68.02,,0,FNBQ,202701,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q1-27,,2026-03-16,2026-03-20,2026-03-18,ok,65.13,,0,FNBQ,202701,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q1-27,,2026-03-16,2026-03-20,2026-03-17,ok,63.82,,0,FNBQ,202701,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q1-27,,2026-03-16,2026-03-20,2026-03-16,ok,64.23,,0,FNBQ,202701,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q2-27,,2026-03-16,2026-03-20,2026-03-20,ok,33.77,,0,FNBQ,202704,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q2-27,,2026-03-16,2026-03-20,2026-03-19,ok,32.71,,0,FNBQ,202704,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q2-27,,2026-03-16,2026-03-20,2026-03-18,ok,33.02,,0,FNBQ,202704,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q2-27,,2026-03-16,2026-03-20,2026-03-17,ok,32.65,,0,FNBQ,202704,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q2-27,,2026-03-16,2026-03-20,2026-03-16,ok,33.45,,0,FNBQ,202704,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q3-27,,2026-03-16,2026-03-20,2026-03-20,ok,37.46,,0,FNBQ,202707,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q3-27,,2026-03-16,2026-03-20,2026-03-19,ok,37.1,,0,FNBQ,202707,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q3-27,,2026-03-16,2026-03-20,2026-03-18,ok,36.26,,0,FNBQ,202707,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q3-27,,2026-03-16,2026-03-20,2026-03-17,ok,35.88,,0,FNBQ,202707,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q3-27,,2026-03-16,2026-03-20,2026-03-16,ok,36.75,,0,FNBQ,202707,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q4-27,,2026-03-16,2026-03-20,2026-03-20,ok,47.87,,0,FNBQ,202710,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q4-27,,2026-03-16,2026-03-20,2026-03-19,ok,47.08,,0,FNBQ,202710,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q4-27,,2026-03-16,2026-03-20,2026-03-18,ok,46.7,,0,FNBQ,202710,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q4-27,,2026-03-16,2026-03-20,2026-03-17,ok,46.98,,0,FNBQ,202710,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Quarter,Q4-27,,2026-03-16,2026-03-20,2026-03-16,ok,48.01,,0,FNBQ,202710,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-27,,2026-03-16,2026-03-20,2026-03-20,ok,46.54,,2,FNBY,202701,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-27,,2026-03-16,2026-03-20,2026-03-19,ok,46.14,,2,FNBY,202701,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-27,,2026-03-16,2026-03-20,2026-03-18,ok,45.2,,2,FNBY,202701,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-27,,2026-03-16,2026-03-20,2026-03-17,ok,44.76,,2,FNBY,202701,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-27,,2026-03-16,2026-03-20,2026-03-16,ok,45.54,,2,FNBY,202701,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-28,,2026-03-16,2026-03-20,2026-03-20,ok,43.21,,0,FNBY,202801,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-28,,2026-03-16,2026-03-20,2026-03-19,ok,42.98,,0,FNBY,202801,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-28,,2026-03-16,2026-03-20,2026-03-18,ok,42.48,,0,FNBY,202801,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-28,,2026-03-16,2026-03-20,2026-03-17,ok,42.42,,0,FNBY,202801,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-28,,2026-03-16,2026-03-20,2026-03-16,ok,42.63,,0,FNBY,202801,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-29,,2026-03-16,2026-03-20,2026-03-20,ok,43.17,,0,FNBY,202901,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-29,,2026-03-16,2026-03-20,2026-03-19,ok,42.36,,0,FNBY,202901,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-29,,2026-03-16,2026-03-20,2026-03-18,ok,41.96,,0,FNBY,202901,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-29,,2026-03-16,2026-03-20,2026-03-17,ok,42.1,,0,FNBY,202901,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-29,,2026-03-16,2026-03-20,2026-03-16,ok,42.31,,0,FNBY,202901,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-30,,2026-03-16,2026-03-20,2026-03-20,ok,44.41,,0,FNBY,203001,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-30,,2026-03-16,2026-03-20,2026-03-19,ok,43.5,,0,FNBY,203001,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-30,,2026-03-16,2026-03-20,2026-03-18,ok,44.08,,0,FNBY,203001,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-30,,2026-03-16,2026-03-20,2026-03-17,ok,44.84,,0,FNBY,203001,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-30,,2026-03-16,2026-03-20,2026-03-16,ok,45.05,,0,FNBY,203001,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-31,,2026-03-16,2026-03-20,2026-03-20,ok,45.27,,0,FNBY,203101,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-31,,2026-03-16,2026-03-20,2026-03-19,ok,44.99,,0,FNBY,203101,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-31,,2026-03-16,2026-03-20,2026-03-18,ok,45.57,,0,FNBY,203101,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-31,,2026-03-16,2026-03-20,2026-03-17,ok,45.76,,0,FNBY,203101,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-31,,2026-03-16,2026-03-20,2026-03-16,ok,45.97,,0,FNBY,203101,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-32,,2026-03-16,2026-03-20,2026-03-20,ok,44.89,,0,FNBY,203201,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-32,,2026-03-16,2026-03-20,2026-03-19,ok,44.83,,0,FNBY,203201,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-32,,2026-03-16,2026-03-20,2026-03-18,ok,45.95,,0,FNBY,203201,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-32,,2026-03-16,2026-03-20,2026-03-17,ok,46.14,,0,FNBY,203201,False,200,
range,2026-03-20,POWER,FI,POWER,F,Base,Year,Cal-32,,2026-03-16,2026-03-20,2026-03-16,ok,46.35,,0,FNBY,203201,False,200,
